ticker,company,sector,industry,hq,date_first_added,cik,founded
J,Jacobs Solutions,Construction & Engineering,"Dallas, Texas",2007-10-26,0000052988,"1947
",
JNJ,Johnson & Johnson,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,0000200406,"1886
",
JCI,Johnson Controls,Building Products,"Cork, Ireland",2010-08-27,0000833444,"1885
",
JPM,JPMorgan Chase,Diversified Banks,"New York City, New York",1975-06-30,"0000019617
","2000 (1799 / 1871)
",
JNPR,Juniper Networks,Communications Equipment,"Sunnyvale, California",2006-06-02,0001043604,"1996
",
K,Kellogg's,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,0000055067,"1906
",
KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,0001418135,"1981
",
KEY,KeyCorp,Regional Banks,"Cleveland, Ohio",1994-03-01,0000091576,"1825
",
KEYS,Keysight,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,0001601046,"2014 (1939)
",
KMB,Kimberly-Clark,Household Products,"Irving, Texas",1957-03-04,0000055785,"1872
",
KIM,Kimco Realty,Retail REITs,"New Hyde Park, New York",2006-04-04,"0000879101
","1958
",
KMI,Kinder Morgan,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,"0001506307
","1997
",
KLAC,KLA Corporation,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,0000319201,"1975/1977 (1997)
",
KHC,Kraft Heinz,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,0001637459,"2015 (1869)
",
KR,Kroger,Food Retail,"Cincinnati, Ohio",1957-03-04,0000056873,"1883
",
LHX,L3Harris,Aerospace & Defense,"Melbourne, Florida",2008-09-22,"0000202058
","2019 (1895)
",
LH,LabCorp,Health Care Services,"Burlington, North Carolina",2004-11-01,0000920148,"1978
",
LRCX,Lam Research,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,0000707549,"1980
",
LW,Lamb Weston,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,0001679273,"2016 (1950)
",
LVS,Las Vegas Sands,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,0001300514,"1988
",
LDOS,Leidos,Diversified Support Services,"Reston, Virginia",2019-08-09,0001336920,"1969
",
LEN,Lennar,Homebuilding,"Miami, Florida",2005-10-04,"0000920760
","1954
",
LNC,Lincoln Financial,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,"0000059558
","1905
",
LIN,Linde plc,Industrial Gases,"Guildford, United Kingdom",1992-07-01,0001707925,"1879
",
LYV,Live Nation Entertainment,Movies & Entertainment,"Beverly Hills, California",2019-12-23,0001335258,"2010
",
LKQ,LKQ Corporation,Distributors,"Chicago, Illinois",2016-05-23,0001065696,"1998
",
LMT,Lockheed Martin,Aerospace & Defense,"Bethesda, Maryland",1957-03-04,0000936468,"1995
",
L,Loews Corporation,Multi-line Insurance,"New York City, New York",1995-05-31,"0000060086
","1959
",
LOW,Lowe's,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,0000060667,"1904/1946/1959
",
LYB,LyondellBasell,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,"0001489393
","2007
",
MTB,M&T Bank,Regional Banks,"Buffalo, New York",2004-02-23,0000036270,"1856
",
MRO,Marathon Oil,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0000101778,"1887
",
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,"0001510295
","2009 (1887)
",
MKTX,MarketAxess,Financial Exchanges & Data,"New York City, New York",2019-07-01,"0001278021
","2000
",
MAR,Marriott International,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998-05-29,0001048286,"1927
",
MMC,Marsh McLennan,Insurance Brokers,"New York City, New York",1987-08-31,0000062709,"1905
",
MLM,Martin Marietta Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,0000916076,"1993
",
MAS,Masco,Building Products,"Livonia, Michigan",1981-06-30,"0000062996
","1929
",
MA,Mastercard,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,0001141391,"1966
",
MTCH,Match Group,Interactive Media & Services,"Dallas, Texas",2021-09-20,0000891103,"1986
",
MKC,McCormick & Company,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,0000063754,"1889
",
MCD,McDonald's,Restaurants,"Chicago, Illinois",1970-06-30,0000063908,"1940
",
MCK,McKesson,Health Care Distributors,"Irving, Texas",1999-01-13,0000927653,"1833
",
MDT,Medtronic,Health Care Equipment,"Dublin, Ireland",1986-10-31,0001613103,"1949
",
MRK,Merck & Co.,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,0000310158,"1891
",
META,Meta Platforms,Interactive Media & Services,"Menlo Park, California",2013-12-23,0001326801,"2004
",
MET,MetLife,Life & Health Insurance,"New York City, New York",2000-12-11,0001099219,"1868
",
MTD,Mettler Toledo,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,0001037646,"1945
",
MGM,MGM Resorts,Casinos & Gaming,"Paradise, Nevada",2017-07-26,0000789570,"1986
",
MCHP,Microchip Technology,Semiconductors,"Chandler, Arizona",2007-09-07,0000827054,"1989
",
MU,Micron Technology,Semiconductors,"Boise, Idaho",1994-09-27,0000723125,"1978
",
MSFT,Microsoft,Systems Software,"Redmond, Washington",1994-06-01,0000789019,"1975
",
MAA,Mid-America Apartment Communities,Residential REITs,"Memphis, Tennessee",2016-12-02,0000912595,"1977
",
MRNA,Moderna,Biotechnology,"Cambridge, Massachusetts",2021-07-21,0001682852,"2010
",
MHK,Mohawk Industries,Home Furnishings,"Calhoun, Georgia",2013-12-23,0000851968,"1878
",
MOH,Molina Healthcare,Managed Health Care,"Long Beach, California",2022-03-02,0001179929,"1980
",
TAP,Molson Coors Beverage Company,Brewers,"Chicago, Illinois",1976-06-30,"0000024545
","2005 (Molson 1786, Coors 1873)
",
MDLZ,Mondelez International,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,0001103982,"2012
",
MPWR,Monolithic Power Systems,Semiconductors,"Kirkland, Washington",2021-02-12,0001280452,"1997
",
MNST,Monster Beverage,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012-06-28,0000865752,"2012 (1935)
",
MCO,Moody's Corporation,Financial Exchanges & Data,"New York City, New York",1998-07-01,0001059556,"1909
",
MS,Morgan Stanley,Investment Banking & Brokerage,"New York City, New York",1993-07-29,0000895421,"1935
",
MOS,Mosaic Company (The),Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,"0001285785
","2004 (1865 / 1909)
",
MSI,Motorola Solutions,Communications Equipment,"Chicago, Illinois",1957-03-04,0000068505,"1928 (2011)
",
MSCI,MSCI,Financial Exchanges & Data,"New York City, New York",2018-04-04,"0001408198
","1969
",
NDAQ,"Nasdaq, Inc.",Financial Exchanges & Data,"New York City, New York",2008-10-22,"0001120193
","1971
",
NTAP,NetApp,"Technology Hardware, Storage & Peripherals","San Jose, California",1999-06-25,0001002047,"1992
",
NFLX,Netflix,Movies & Entertainment,"Los Gatos, California",2010-12-20,0001065280,"1997
",
NWL,Newell Brands,Housewares & Specialties,"Atlanta, Georgia",1989-04-30,0000814453,"1903
",
NEM,Newmont,Gold,"Denver, Colorado",1969-06-30,0001164727,"1921
",
NWSA,News Corp (Class A),Publishing,"New York City, New York",2013-08-01,0001564708,"2013 (1980)
",
NWS,News Corp (Class B),Publishing,"New York City, New York",2015-09-18,0001564708,"2013 (1980)
",
NEE,NextEra Energy,Multi-Utilities,"Juno Beach, Florida",1976-06-30,"0000753308
","1984 (1925)
",
NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,0000320187,"1964
",
NI,NiSource,Multi-Utilities,"Merrillville, Indiana",2000-11-02,0001111711,"1912
",
NDSN,Nordson Corporation,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2022-02-15,0000072331,"1935
",
NSC,Norfolk Southern Railway,Rail Transportation,"Atlanta, Georgia",1957-03-04,0000702165,"1881/1894 (1980)
",
NTRS,Northern Trust,Asset Management & Custody Banks,"Chicago, Illinois",1998-01-30,0000073124,"1889
",
NOC,Northrop Grumman,Aerospace & Defense,"West Falls Church, Virginia",1957-03-04,0001133421,"1994 (Northrop 1939, Grumman 1930)
",
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,0001513761,"2011 (1966)
",
NRG,NRG Energy,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,0001013871,"1992
",
NUE,Nucor,Steel,"Charlotte, North Carolina",1985-04-30,0000073309,"1940
",
NVDA,Nvidia,Semiconductors,"Santa Clara, California",2001-11-30,0001045810,"1993
",
NVR,"NVR, Inc.",Homebuilding,"Reston, Virginia",2019-09-26,0000906163,"1980
",
NXPI,NXP Semiconductors,Semiconductors,"Eindhoven, Netherlands",2021-03-22,0001413447,"1953
",
ORLY,O'Reilly Auto Parts,Specialty Stores,"Springfield, Missouri",2009-03-27,0000898173,"1957
",
OXY,Occidental Petroleum,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0000797468,"1920
",
ODFL,Old Dominion,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,0000878927,"1934
",
OMC,Omnicom Group,Advertising,"New York City, New York",1997-12-31,0000029989,"1986
",
ON,ON Semiconductor,Semiconductors,"Phoenix, Arizona",2022-06-21,0001097864,"1999
",
OKE,ONEOK,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,0001039684,"1906
",
ORCL,Oracle Corporation,Application Software,"Austin, Texas",1989-08-31,0001341439,"1977
",
OGN,Organon & Co.,Pharmaceuticals,"Jersey City, New Jersey",2021-06-03,0001821825,"2021
",
OTIS,Otis Worldwide,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020-04-03,"0001781335
","2020 (1853)
",
PCAR,Paccar,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1980-12-31,"0000075362
","1905
",
PKG,Packaging Corporation of America,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,0000075677,"1959
",
PARA,Paramount Global,Movies & Entertainment,"New York City, New York",1994-09-30,"0000813828
","2019 (1952)
",
PH,Parker Hannifin,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,0000076334,"1917
",
PAYX,Paychex,Human Resource & Employment Services,"Penfield, New York",1998-10-01,0000723531,"1971
",
PAYC,Paycom,Application Software,"Oklahoma City, Oklahoma",2020-01-28,0001590955,"1998
",
PYPL,PayPal,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,0001633917,"1998
",
PNR,Pentair,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,0000077360,"1966
",
PEP,PepsiCo,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,0000077476,"1898
",
PFE,Pfizer,Pharmaceuticals,"New York City, New York",1957-03-04,0000078003,"1849
",
PCG,PG&E Corporation,Multi-Utilities,"San Francisco, California",2022-10-03,0001004980,"1905
",
PM,Philip Morris International,Tobacco,"New York City, New York",2008-03-31,0001413329,"2008 (1847)
",
PSX,Phillips 66,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,0001534701,"2012 (1917)
",
PNW,Pinnacle West,Multi-Utilities,"Phoenix, Arizona",1999-10-04,0000764622,"1985
",
PXD,Pioneer Natural Resources,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,0001038357,"1997
",
PNC,PNC Financial Services,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,0000713676,"1845
",
POOL,Pool Corporation,Distributors,"Covington, Louisiana",2020-10-07,0000945841,"1993
",
PPG,PPG Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,0000079879,"1883
",
PPL,PPL Corporation,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,"0000922224
","1920
",
PFG,Principal Financial Group,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,0001126328,"1879
",
PG,Procter & Gamble,Personal Care Products,"Cincinnati, Ohio",1957-03-04,0000080424,"1837
",
PGR,Progressive Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,0000080661,"1937
",
PLD,Prologis,Industrial REITs,"San Francisco, California",2003-07-17,0001045609,"1983
",
PRU,Prudential Financial,Life & Health Insurance,"Newark, New Jersey",2002-07-22,0001137774,"1875
",
PEG,Public Service Enterprise Group,Electric Utilities,"Newark, New Jersey",1957-03-04,"0000788784
","1903
",
PTC,PTC,Application Software,"Boston, Massachusetts",2021-04-20,0000857005,"1985
",
PSA,Public Storage,Self-Storage REITs,"Glendale, California",2005-08-19,0001393311,"1972
",
PHM,PulteGroup,Homebuilding,"Atlanta, Georgia",1984-04-30,"0000822416
","1956
",
QRVO,Qorvo,Semiconductors,"Greensboro, North Carolina",2015-06-11,0001604778,"2015
",
PWR,Quanta Services,Construction & Engineering,"Houston, Texas",2009-07-01,0001050915,"1997
",
QCOM,Qualcomm,Semiconductors,"San Diego, California",1999-07-22,0000804328,"1985
",
DGX,Quest Diagnostics,Health Care Services,"Secaucus, New Jersey",2002-12-12,0001022079,"1967
",
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,0001037038,"1967
",
RJF,Raymond James,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,0000720005,"1962
",
RTX,Raytheon Technologies,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,0000101829,"1922
",
O,Realty Income,Retail REITs,"San Diego, California",2015-04-07,0000726728,"1969
",
REG,Regency Centers,Retail REITs,"Jacksonville, Florida",2017-03-02,0000910606,"1963
",
REGN,Regeneron,Biotechnology,"Tarrytown, New York",2013-05-01,0000872589,"1988
",
RF,Regions Financial Corporation,Regional Banks,"Birmingham, Alabama",1998-08-28,0001281761,"1971
",
RSG,Republic Services,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,0001060391,"1998 (1981)
",
RMD,ResMed,Health Care Equipment,"San Diego, California",2017-07-26,0000943819,"1989
",
RVTY,Revvity,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,0000031791,"1937
",
RHI,Robert Half,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,0000315213,"1948
",
ROK,Rockwell Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin",,"0001024478
","1903
",
ROL,"Rollins, Inc.",Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,0000084839,"1948
",
ROP,Roper Technologies,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,0000882835,"1981
",
ROST,Ross Stores,Apparel Retail,"Dublin, California",2009-12-21,0000745732,"1982
",
RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,0000884887,"1997
",
SPGI,S&P Global,Financial Exchanges & Data,"New York City, New York",1957-03-04,"0000064040
","1917
",
CRM,Salesforce,Application Software,"San Francisco, California",2008-09-15,0001108524,"1999
",
SBAC,SBA Communications,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,0001034054,"1989
",
SLB,Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,0000087347,"1926
",
STX,Seagate Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,0001137789,"1979
",
SEE,Sealed Air,Paper & Plastic Packaging Products & Materials,"Charlotte, North Carolina",1957-03-04,0001012100,"1960
",
SRE,Sempra Energy,Multi-Utilities,"San Diego, California",2001?,0001032208,"1998
",
NOW,ServiceNow,Systems Software,"Santa Clara, California",2019-11-21,0001373715,"2003
",
SHW,Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,0000089800,"1866
",
SPG,Simon Property Group,Retail REITs,"Indianapolis, Indiana",2002-06-26,"0001063761
","2003
",
SWKS,Skyworks Solutions,Semiconductors,"Irvine, California",2015-03-12,0000004127,"2002
",
SJM,J.M. Smucker Company (The),Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,0000091419,"1897
",
SNA,Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,"0000091440
","1920
",
SEDG,SolarEdge,Semiconductor Materials & Equipment,"Herzliya, Israel",2021-12-20,0001419612,"2006
",
SO,Southern Company,Electric Utilities,"Atlanta, Georgia",1957-03-04,0000092122,"1945
",
LUV,Southwest Airlines,Passenger Airlines,"Dallas, Texas",1994-07-01,0000092380,"1967
",
SWK,Stanley Black & Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,"0000093556
","1843
",
SBUX,Starbucks,Restaurants,"Seattle, Washington",2000-06-07,0000829224,"1971
",
STT,State Street Corporation,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,0000093751,"1792
",
STLD,Steel Dynamics,Steel,"Fort Wayne, Indiana",2022-12-22,0001022671,"1993
",
STE,Steris,Health Care Equipment,"Dublin, Ireland",2019-12-23,0001757898,"1985
",
SYK,Stryker Corporation,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,0000310764,"1941
",
SYF,Synchrony Financial,Consumer Finance,"Stamford, Connecticut",2015-11-18,0001601712,"2003
",
SNPS,Synopsys,Application Software,"Sunnyvale, California",2017-03-16,0000883241,"1986
",
SYY,Sysco,Food Distributors,"Houston, Texas",1986-12-31,0000096021,"1969
",
TMUS,T-Mobile US,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,0001283699,"1994
",
TROW,T. Rowe Price,Asset Management & Custody Banks,"Baltimore, Maryland",,0001113169,"1937
",
TTWO,Take-Two Interactive,Interactive Home Entertainment,"New York City, New York",2018-03-19,0000946581,"1993
",
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods","New York City, New York","2004-09-01
",0001116132,"2017
",
TRGP,Targa Resources,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,0001389170,"2005
",
TGT,Target Corporation,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,"0000027419
","1902
",
TEL,TE Connectivity,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,"0001385157
","2007
",
TDY,Teledyne Technologies,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,"0001094285
","1960
",
TFX,Teleflex,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,0000096943,"1943
",
TER,Teradyne,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,0000097210,"1960
",
TSLA,"Tesla, Inc.",Automobile Manufacturers,"Austin, Texas",2020-12-21,0001318605,"2003
",
TXN,Texas Instruments,Semiconductors,"Dallas, Texas",,0000097476,"1930
",
TXT,Textron,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,"0000217346
","1923
",
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,0000097745,"2006 (1902)
",
TJX,TJX Companies,Apparel Retail,"Framingham, Massachusetts",1985-09-30,0000109198,"1987
",
TSCO,Tractor Supply,Specialty Stores,"Brentwood, Tennessee",2014-01-24,0000916365,"1938
",
TT,Trane Technologies,Building Products,"Dublin, Ireland",2010-11-17,"0001466258
","1871
",
TDG,TransDigm Group,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,"0001260221
","1993
",
TRV,Travelers Companies (The),Property & Casualty Insurance,"New York City, New York",2002-08-21,0000086312,"1853
",
TRMB,Trimble Inc.,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,0000864749,"1978
",
TFC,Truist,Regional Banks,"Charlotte, North Carolina",1997-12-04,0000092230,"1872
",
TYL,Tyler Technologies,Application Software,"Plano, Texas",2020-06-22,0000860731,"1966
",
TSN,Tyson Foods,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,0000100493,"1935
",
USB,U.S. Bank,Diversified Banks,"Minneapolis, Minnesota",,0000036104,"1968
",
UDR,"UDR, Inc.",Residential REITs,"Highlands Ranch, Colorado",2016-03-07,0000074208,"1972
",
ULTA,Ulta Beauty,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,0001403568,"1990
",
UNP,Union Pacific Corporation,Rail Transportation,"Omaha, Nebraska",1957-03-04,0000100885,"1862
",
UAL,United Airlines Holdings,Passenger Airlines,"Chicago, Illinois",2015-09-03,0000100517,"1967
",
UPS,United Parcel Service,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,0001090727,"1907
",
URI,United Rentals,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,0001067701,"1997
",
UNH,UnitedHealth Group,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,0000731766,"1977
",
UHS,Universal Health Services,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,0000352915,"1979
",
VLO,Valero Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,0001035002,"1980
",
VTR,Ventas,Health Care REITs,"Chicago, Illinois",2009-03-04,0000740260,"1998
",
VRSN,Verisign,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,0001014473,"1995
",
VRSK,Verisk,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,0001442145,"1971
",
VZ,Verizon,Integrated Telecommunication Services,"New York City, New York",1983-11-30,"0000732712
","1983 (1877)
",
VRTX,Vertex Pharmaceuticals,Biotechnology,"Cambridge, Massachusetts",2013-09-23,0000875320,"1989
",
VFC,VF Corporation,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,"0000103379
","1899
",
VTRS,Viatris,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,0001792044,"1961
",
VICI,Vici Properties,Hotel & Resort REITs,"New York City, New York",2022-06-08,0001705696,"2017
",
V,Visa Inc.,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,0001403161,"1958
",
VMC,Vulcan Materials Company,Construction Materials,"Birmingham, Alabama",1999-06-30,"0001396009
","1909
",
WAB,Wabtec,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,0000943452,"1999 (1869)
",
WBA,Walgreens Boots Alliance,Drug Retail,"Deerfield, Illinois",1979-12-31,0001618921,"2014
",
WMT,Walmart,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,"0000104169
","1962
",
WBD,Warner Bros. Discovery,Broadcasting,"New York City, New York",2022-04-11,0001437107,"2022
",
WM,Waste Management,Environmental & Facilities Services,"Houston, Texas",,0000823768,"1968
",
WAT,Waters Corporation,Health Care Distributors,"Milford, Massachusetts",2002-01-02,0001000697,"1958
",
WEC,WEC Energy Group,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,"0000783325
","1896
",
WFC,Wells Fargo,Diversified Banks,"San Francisco, California",1976-06-30,"0000072971
","1852
",
WELL,Welltower,Health Care REITs,"Toledo, Ohio",2009-01-30,"0000766704
","1970
",
WST,West Pharmaceutical Services,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,"0000105770
","1923
",
WDC,Western Digital,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,"0000106040
","1970
",
WRK,WestRock,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",1957-03-04,0001732845,"2015
",
WY,Weyerhaeuser,Timber REITs,"Seattle, Washington",,0000106535,"1900
",
WHR,Whirlpool Corporation,Household Appliances,"Benton Harbor, Michigan",,0000106640,"1911
",
WMB,Williams Companies,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,"0000107263
","1908
",
WTW,Willis Towers Watson,Insurance Brokers,"London, United Kingdom",2016-01-05,"0001140536
","2016
",
GWW,W. W. Grainger,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1981-06-30,"0000277135
","1927
",
WYNN,Wynn Resorts,Casinos & Gaming,"Paradise, Nevada",2008-11-14,"0001174922
","2002
",
XEL,Xcel Energy,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,0000072903,"1909
",
XYL,Xylem Inc.,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,0001524472,"2011
",
YUM,Yum! Brands,Restaurants,"Louisville, Kentucky",1997-10-06,"0001041061
","1997
",
ZBRA,Zebra Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,"0000877212
","1969
",
ZBH,Zimmer Biomet,Health Care Equipment,"Warsaw, Indiana",2001-08-07,"0001136869
","1927
",
ZION,Zions Bancorporation,Regional Banks,"Salt Lake City, Utah",2001-06-22,"0000109380
","1873
",
ZTS,Zoetis,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,0001555280,"1952
",
