ticker,company,sector,industry,hq,date_first_added,cik,founded
BBWI,"Bath & Body Works, Inc.",Specialty Stores,"Columbus, Ohio",1983-09-30,"0000701985
","1963
",
BAX,Baxter International,Health Care Equipment,"Deerfield, Illinois",1972-09-30,0000010456,"1931
",
BDX,Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,0000010795,"1897
",
WRB,Berkley,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,0000011544,"1967
",
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,"0001067983
","1839
",
BBY,Best Buy,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,"0000764478
","1966
",
BIO,Bio-Rad,Life Sciences Tools & Services,"Hercules, California",2020-06-22,"0000012208
","1952
",
TECH,Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,"0000842023
","1976
",
BIIB,Biogen,Biotechnology,"Cambridge, Massachusetts",2003-11-13,"0000875045
","1978
",
BLK,BlackRock,Asset Management & Custody Banks,"New York City, New York",2011-04-04,"0001364742
","1988
",
BK,BNY Mellon,Asset Management & Custody Banks,"New York City, New York",1995-03-31,0001390777,"1784
",
BA,Boeing,Aerospace & Defense,"Chicago, Illinois",1957-03-04,0000012927,"1916
",
BKNG,Booking Holdings,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,"0001075531
","1996
",
BWA,BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,"0000908255
","1880
",
BXP,Boston Properties,Office REITs,"Boston, Massachusetts",2006-04-03,"0001037540
","1970
",
BSX,Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts",1995-02-24,"0000885725
","1979
",
BMY,Bristol Myers Squibb,Pharmaceuticals,"New York City, New York",1957-03-04,0000014272,"1989 (1887)
",
AVGO,Broadcom Inc.,Semiconductors,"San Jose, California",2014-05-08,0001730168,"1961
",
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,0001383312,"1962
",
BRO,Brown & Brown,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,0000079282,"1939
",
